brand,model,tracking,connection,max_dpi,hand_orientation,color,price
anker,ak-98an2000-ba,optical,wired,0.1139240506329114,right,black / blue,0.0
anker,ak-98an5000-ba,laser,wired,0.1455696202531645,right,black / blue,0.0
anker,ak-98ands2368-ba,laser,wired,0.240506329113924,right,black,0.0
anker,ak-98anwvm-ba,optical,wired,0.0189873417721519,right,black,0.0
anker,ak-98anwvm-uba,optical,wireless,0.0379746835443038,right,black,0.0
anker,ak-a7809012,optical,wireless,0.0379746835443038,right,black,0.0
aorus,thunder m7,laser,wired,0.2468354430379746,right,black,0.0
apple,mb112ll/b,optical,wired,0.2468354430379746,right,white,0.0
apple,mb829ll/a,laser,bluetooth wireless,0.2468354430379746,right,white,0.0
asus,bx700,laser,bluetooth wireless,0.2468354430379746,right,gray,0.0
asus,cerberus,optical,wired,0.0664556962025316,both,black / red,0.0
asus,cerberus arctic,optical,wired,0.0664556962025316,both,white / black,0.0
asus,eee pc seashell,optical,wired,0.0664556962025316,both,white,0.0
asus,gx1000 eagle eye,laser,wired,0.2468354430379746,right,black / silver,0.0
asus,gx810,laser,wireless,0.0886075949367088,both,black,0.0
asus,gx850,laser,wired,0.1455696202531645,right,black,0.0
asus,gx950,laser,wired,0.2468354430379746,right,black,0.0
asus,p704 rog chakram,optical,wireless,0.4936708860759494,right,black,0.0
asus,rog gladius ii core,optical,wired,0.1835443037974683,right,black,0.0
asus,rog gladius ii origin pnk ltd,optical,wired,0.3670886075949367,right,pink / white,0.0
asus,rog gladius,optical,wired,0.189873417721519,right,black / red,0.0
asus,rog gladius ii,optical,wired,0.3670886075949367,right,black,0.0
asus,rog gladius ii origin,optical,wired,0.3670886075949367,right,black,0.0
asus,rog pugio,optical,wired,0.2151898734177215,both,black,0.0
asus,rog sica,optical,wired,0.1455696202531645,both,black / red,0.0
asus,rog spatha,laser,wireless,0.2468354430379746,right,black,0.0
asus,rog strix evolve,optical,wired,0.2151898734177215,both,black,0.0
asus,rog strix impact,optical,wired,0.1455696202531645,both,black,0.0
asus,rog strix impact ii,optical,wired,0.1835443037974683,right,black,0.0
asus,strix claw,optical,wired,0.1455696202531645,right,black / yellow,0.0
asus,strix claw dark edition,optical,wired,0.1455696202531645,right,black / orange,0.0
asus,tuf gaming m5,optical,wired,0.1835443037974683,right,silver,0.0
asus,ut210,optical,wired,0.0189873417721519,both,blue,0.0
asus,ux300,optical,wired,0.0379746835443038,right,black,0.0
asus,vivomouse wt710,optical,wireless,0.0253164556962025,both,gray,0.0
asus,wt460,optical,wireless,0.0379746835443038,right,blue,0.0
aula,enter tainer,optical,wired,0.1139240506329114,right,black,0.0
aula,ghost shark,optical,wired,0.050632911392405,right,black / silver,0.0
aula,killing soul si-928,optical,wired,0.050632911392405,right,black,0.0
aula,si-9008,optical,wired,0.0981012658227848,right,black,0.0
azza,diablo,optical,wired,0.0632911392405063,right,black,0.0
belkin,f5l016,optical,wired,0.0632911392405063,both,silver / black,0.0
belkin,f5l016-usb-blu,optical,wired,0.0632911392405063,both,blue,0.0
belkin,f5l016ttusb-blk,optical,wired,0.0632911392405063,both,black,0.0
belkin,f5l017,optical,wireless,0.0632911392405063,both,black,0.0
belkin,f5l030ttmdd,optical,wireless,0.0632911392405063,both,blue,0.0
belkin,f5l051,optical,wired,0.0632911392405063,both,black,0.0
belkin,f5m005q,optical,wired,0.0126582278481012,both,black,0.0
belkin,f5m010qblk,optical,wired,0.0126582278481012,both,black,0.0
benq,zowie ec2-b,optical,wired,0.0886075949367088,right,black,0.0
biostar,racing am3,optical,wired,0.1455696202531645,right,black / blue,0.0
buslink,sp-7000-bl,optical,wired,0.0126582278481012,both,blue / black,0.0
cherry,azuro,optical,wireless,0.0189873417721519,right,blue,0.0
cherry,jm-0300,optical,wired,0.0189873417721519,both,black,0.0
cherry,jw-t0100,laser,wireless,0.0427215189873417,both,black,0.0
cherry,jw-t0200,laser,wireless,0.050632911392405,both,black / silver,0.0
cherry,m-300r,laser,wireless,0.0379746835443038,right,black,0.0
cherry,m-4200,optical,wired,0.0126582278481012,right,silver / black,0.0
cherry,m-4230,optical,wired,0.0126582278481012,both,black / silver,0.0
cherry,m-t3030,optical,wireless,0.0189873417721519,both,white,0.0
cherry,m5400,optical,wired,0.0126582278481012,both,gray,0.0
cherry,m5450,optical,wired,0.0126582278481012,both,black,0.0
cherry,mw-2800-2,optical,wired,0.0126582278481012,both,black,0.0
cherry,mw-2800-5,optical,wired,0.0126582278481012,both,blue,0.0
chester creek technologies,ctmo,optical,wired,0.0126582278481012,both,black / green,0.0
chester creek technologies,littlemouse,optical,wired,0.0126582278481012,both,multicolor,0.0
chester creek technologies,tmo,optical,wired,0.0126582278481012,both,white,0.0
chester creek technologies,tmob,optical,wired,0.0126582278481012,both,black,0.0
cisco,xpacc-mse-g=,optical,wired,0.0126582278481012,both,gray,0.0
cobra,aula ghost shark gaming mouse,optical,wired,0.050632911392405,right,black / blue,0.0
cobra,azzor,optical,wired,0.0379746835443038,right,black / blue,0.0
cobra,ajazz quake7,optical,wired,0.0632911392405063,right,black / red,0.0
cobra,auroza type g,optical,wired,0.0822784810126582,right,black,0.0
cobra,corba junor,optical,wired,0.0379746835443038,right,black / blue,0.0
cobra,cobra,optical,wired,0.0632911392405063,right,black / blue,0.0
cobra,cobra junior,optical,wired,0.0379746835443038,right,black / blue,0.0
cobra,cobra type-m,optical,wired,0.0379746835443038,right,black,0.0
cobra,cobra type-s,optical,wired,0.0379746835443038,right,blue / white,0.0
cobra,e-3lue,optical,wired,0.0379746835443038,both,black,0.0
cobra,e-3luehorizon,laser,wireless,0.0379746835443038,both,black / blue,0.0
cobra,e-blue marvel auroza iron man 3,laser,wired,0.1139240506329114,both,red,0.0
cobra,e-blue mazer,laser,wireless,0.0664556962025316,right,black / blue,0.0
cobra,e-blue mazer ii,laser,wireless,0.0664556962025316,right,black / silver,0.0
cobra,e-blue cobra ii,optical,wireless,0.0664556962025316,right,black,0.0
cobra,ems140bkc,laser,wired,0.0664556962025316,right,black / silver,0.0
cobra,eagle hunter,optical,wired,0.0632911392405063,both,black,0.0
cobra,horizon,optical,wireless,0.0427215189873417,right,black / red,0.0
cobra,mazer,optical,wired,0.0664556962025316,right,black / blue,0.0
cobra,mazer ii,optical,wired,0.0664556962025316,right,black,0.0
cobra,mazer type-l,optical,wired,0.0981012658227848,right,black,0.0
cobra,mazer type-r,optical,wired,0.0632911392405063,right,black / blue,0.0
cobra,sku038144,optical,wired,0.0379746835443038,right,black / blue,0.0
cobra,silenz,optical,wired,0.0632911392405063,both,multicolor,0.0
cobra,tarrasque glare,optical,wired,0.1012658227848101,right,multicolor,0.0
cobra,cobra ii,optical,wired,0.0379746835443038,right,multicolor,0.0
cooler master,cm storm havoc,laser,wired,0.2468354430379746,right,black / red,0.0
cooler master,cm storm inferno,laser,wired,0.1139240506329114,right,black,0.0
cooler master,cm storm recon,optical,wired,0.1139240506329114,both,white,0.0
cooler master,cm storm sentinel advance ii,laser,wired,0.2468354430379746,right,gray,0.0
cooler master,cm storm spawn,optical,wired,0.0981012658227848,right,black / red,0.0
cooler master,cm storm xornet,optical,wired,0.050632911392405,right,black,0.0
cooler master,mm710,optical,wired,0.4936708860759494,right,black,0.0
cooler master,mm710 glossy black,optical,wired,0.4936708860759494,right,black,0.0
cooler master,mm710 glossy white,optical,wired,0.4936708860759494,right,white,0.0
cooler master,mm710 matte white,optical,wired,0.4936708860759494,right,white,0.0
cooler master,mm711,optical,wired,0.4936708860759494,right,blue,0.0
cooler master,mm711 black glossy,optical,wired,0.4936708860759494,right,black,0.0
cooler master,mm711 black matte,optical,wired,0.4936708860759494,right,black,0.0
cooler master,mm711 white glossy,optical,wired,0.4936708860759494,right,white,0.0
cooler master,mm711 white matte,optical,wired,0.4936708860759494,right,white,0.0
cooler master,mm720 glossy,optical,wired,0.4936708860759494,right,white,0.0
cooler master,mm720 matte,optical,wired,0.4936708860759494,right,white,0.0
cooler master,mm830,optical,wired,0.7468354430379748,right,black,0.0
cooler master,mm831,optical,wireless,1.0,right,black,0.0
cooler master,mastermouse mm520,optical,wired,0.3670886075949367,right,black,0.0
cooler master,mastermouse mm530,optical,wired,0.3670886075949367,right,black,0.0
cooler master,mizar,laser,wired,0.2468354430379746,right,black,0.0
cooler master,recon,optical,wired,0.1139240506329114,both,black,0.0
cooler master,sgm-6001-gllw1,laser,wired,0.1645569620253164,right,black / gray,0.0
cooler master,sentinel iii,optical,wired,0.189873417721519,right,black,0.0
cooler master,storm reaper,laser,wired,0.2468354430379746,right,black / silver,0.0
cooler master,xornet ii,optical,wired,0.0924050632911392,right,black,0.0
corsair,dark core rgb,optical,wireless,0.4936708860759494,right,black,0.0
corsair,dark core rgb pro,optical,wireless,0.5569620253164558,right,black,0.0
corsair,dark core rgb pro se,optical,wireless,0.5569620253164558,right,black,0.0
corsair,dark core rgb se,optical,wireless,0.4936708860759494,right,black,0.0
corsair,glaive rgb,optical,wired,0.4936708860759494,right,black,0.0
corsair,glaive rgb aluminum,optical,wired,0.4936708860759494,right,black,0.0
corsair,glaive rgb pro,optical,wired,0.5569620253164558,right,black,0.0
corsair,harpoon rgb pro,optical,wired,0.3670886075949367,right,black,0.0
corsair,harpoon rgb,optical,wired,0.1772151898734177,right,black,0.0
corsair,ironclaw rgb fps/moba,optical,wired,0.5569620253164558,right,black,0.0
corsair,ironclaw rgb wireless,optical,wireless,0.5569620253164558,right,black,0.0
corsair,katar,optical,wired,0.240506329113924,both,black / red,0.0
corsair,katar pro,optical,wireless,0.3037974683544304,right,black,0.0
corsair,m55 rgb pro,optical,wired,0.379746835443038,both,black,0.0
corsair,m65,laser,wired,0.2468354430379746,right,black,0.0
corsair,m65 pro rgb fps,optical,wired,0.3670886075949367,right,black,0.0
corsair,m65 pro rgb fps (white),optical,wired,0.3670886075949367,right,white,0.0
corsair,m65 rgb,laser,wired,0.2468354430379746,right,black / white,0.0
corsair,m65 rgb elite,optical,wired,0.556867088607595,right,black,0.0
corsair,nightsword rgb,optical,wired,0.5569620253164558,right,black,0.0
corsair,raptor lm3,optical,wired,0.0632911392405063,right,black,0.0
corsair,raptor m3,optical,wired,0.0379746835443038,right,black,0.0
corsair,raptor m30,optical,wired,0.1139240506329114,right,black,0.0
corsair,raptor m4,laser,wired,0.1772151898734177,right,black,0.0
corsair,raptor m40,optical,wired,0.1139240506329114,right,black,0.0
corsair,raptor m45,optical,wired,0.1455696202531645,right,black / red,0.0
corsair,scimitar pro rgb,optical,wired,0.4936708860759494,right,black,0.0
corsair,scimitar rgb elite,optical,wired,0.5569620253164558,right,black,0.0
corsair,sabre,optical,wired,0.189873417721519,right,multicolor,0.0
corsair,sabre rgb,optical,wired,0.3037974683544304,right,black,0.0
corsair,scimitar rgb,optical,wired,0.3670886075949367,right,black,0.0
corsair,vengeance m60,laser,wired,0.1677215189873417,right,black,0.0
corsair,vengeance m65,laser,wired,0.2468354430379746,right,white,0.0
corsair,vengeance m90,laser,wired,0.1677215189873417,right,black,0.0
corsair,vengeance m95,laser,wired,0.2468354430379746,right,black,0.0
cougar,200m,optical,wired,0.050632911392405,right,black / red,0.0
cougar,230m,optical,wired,0.0886075949367088,both,white / yellow,0.0
cougar,250m,optical,wired,0.1139240506329114,both,black / orange,0.0
cougar,300m,optical,wired,0.1139240506329114,right,black / orange,0.0
cougar,450m (black/green),optical,wired,0.1455696202531645,both,black / green,0.0
cougar,450m (black/orange),optical,wired,0.1455696202531645,both,black / orange,0.0
cougar,500m,optical,wired,0.1139240506329114,right,black / white,0.0
cougar,550m,optical,wired,0.189873417721519,right,black / orange,0.0
cougar,600m,laser,wired,0.2468354430379746,right,orange,0.0
cougar,700m,laser,wired,0.2468354430379746,right,black,0.0
cougar,700m evo,optical,wired,0.4936708860759494,right,black,0.0
cougar,700m evo rgb,optical,wired,0.4936708860759494,right,black,0.0
cougar,minos xt,optical,wired,0.1139240506329114,right,black,0.0
cougar,minos x1,optical,wired,0.050632911392405,right,black,0.0
cougar,minos x2,optical,wired,0.0822784810126582,right,black,0.0
cougar,minos x3,optical,wired,0.0886075949367088,right,black,0.0
cougar,revenger,optical,wired,0.3670886075949367,right,black,0.0
creative labs,siege m04,optical,wired,0.3670886075949367,right,black,0.0
cubeternet,cubeternet bluetooth optical mini mouse,optical,bluetooth wireless,0.3670886075949367,both,black / silver,0.0
cyber snipa,cslm01,laser,wired,0.0632911392405063,right,black,0.0
cyber snipa,cslmsl01,laser,wired,0.1455696202531645,right,black,0.0
cyber snipa,cslmsw01,laser,wired,0.0379746835443038,right,black,0.0
cyborg,ccb437050002/04/1,laser,wired,0.1139240506329114,right,black,0.0
cyborg,ccb4370900b2/02/1,laser,wireless,0.1645569620253164,right,black,0.0
cyborg,r.a.t.7 albino,laser,wired,0.189873417721519,right,white,0.0
cyborg,r.a.t.7 infection,laser,wired,0.189873417721519,right,black,0.0
dland,zelotes,optical,wired,0.2151898734177215,right,black,0.0
dland,zelotes t90,optical,wired,0.2784810126582278,right,black,0.0
das keyboard,division zero m50,laser,wired,0.189873417721519,both,black / red,0.0
dell,468-7409 mouse,optical,wired,0.189873417721519,both,black,0.0
dell,468-7410 mouse,optical,bluetooth wireless,0.189873417721519,both,black / silver,0.0
dell,alienware elite,optical,wired,0.3670886075949367,right,silver / black,0.0
dell,ms116,optical,wired,0.0189873417721519,both,black,0.0
dell,wm123,optical,wireless,0.0189873417721519,both,black,0.0
dell,wm126,optical,wireless,0.0189873417721519,both,black,0.0
dell,wm311,optical,wireless,0.0189873417721519,both,black,0.0
dell,wm326,laser,wireless,0.0379746835443038,both,black,0.0
dell,wm615,laser,bluetooth wireless,0.0189873417721519,both,black,0.0
ducky,secret rgb,optical,wired,0.1455696202531645,right,black,0.0
evga,torq x10,laser,wired,0.2468354430379746,both,black / red,0.0
evga,torq x10 carbon,laser,wired,0.2468354430379746,both,black / red,0.0
evga,torq x3,optical,wired,0.1139240506329114,both,black / silver,0.0
evga,torq x5,optical,wired,0.189873417721519,both,black / white,0.0
evga,torq x5l,laser,wired,0.2468354430379746,both,black / orange,0.0
endgame gear,xm1,optical,wired,0.4936708860759494,right,white,0.0
epic gear,egma1h-ob,laser,wired,0.1772151898734177,right,black,0.0
ergoguys,cst kidtrack,trackball,wired,0.0,both,white,0.0
ergoguys,cst1550,trackball,wired,0.0379746835443038,both,black,0.0
ergoguys,cst3645,optical,wired,0.0379746835443038,right,black,0.0
ergoguys,comfi ergonomic mouse,optical,wired,0.0189873417721519,right,black,0.0
ergoguys,em011-w,optical,wired,0.0189873417721519,right,white,0.0
ergoguys,emo11-bl,optical,wired,0.0189873417721519,right,black,0.0
ergoguys,km200,optical,wired,0.0126582278481012,right,red / blue,0.0
ergoguys,kov-gtm-b,laser,wireless,0.0126582278481012,right,black / silver,0.0
ergoguys,mibru-001,optical,wired,0.0632911392405063,both,red / black,0.0
ergoguys,mibru-002,laser,wired,0.0886075949367088,right,black,0.0
ergoguys,onyx,optical,wired,0.0,right,blue / white,0.0
ergoguys,rtm-083,optical,wired,0.0126582278481012,both,green,0.0
ergoguys,wut-13,trackball,wired,0.0126582278481012,right,blue / gray,0.0
ergoguys,wwt-13,trackball,wired,0.0126582278481012,right,white / blue,0.0
ergoguys,xl-750bk,laser,wired,0.1012658227848101,right,black,0.0
etekcity,scroll s200,optical,wired,0.0379746835443038,right,black / blue,0.0
etekcity,scroll 6e,optical,wired,0.1139240506329114,right,black / blue,0.0
etekcity,scroll alpha,laser,wired,0.2468354430379746,both,black / blue,0.0
etekcity,scroll m535,optical,wired,0.0822784810126582,right,black / blue,0.0
etekcity,scroll x1 m555,optical,wired,0.0632911392405063,right,black / red,0.0
evoluent,vm4l,laser,wired,0.0632911392405063,left,silver / black,0.0
evoluent,vm4r,laser,wired,0.0632911392405063,right,silver / black,0.0
evoluent,vm4s,optical,wired,0.0632911392405063,right,purple,0.0
evoluent,vm4sw small,optical,wireless,0.0696202531645569,right,brown / black,0.0
evoluent,vmcrw vertical mouse c,laser,wireless,0.0696202531645569,right,black / silver,0.0
evoluent,vmcrwg vertical mouse c,optical,wireless,0.0696202531645569,right,gold / black,0.0
evoluent,vmdl,laser,wired,0.0696202531645569,right,black / silver,0.0
evoluent,vmdlw,laser,wireless,0.0696202531645569,right,black / silver,0.0
evoluent,vmdm,optical,wired,0.0696202531645569,right,black / silver,0.0
evoluent,vmdmw verticalmouse d medium,laser,wireless,0.0379746835443038,right,black,0.0
evoluent,vmds,optical,wired,0.0379746835443038,right,black / silver,0.0
evoluent,vmdsw vertical mouse d small,laser,wireless,0.0379746835443038,right,black,0.0
evoluent,verticalmouse 4 right,laser,bluetooth wireless,0.0379746835443038,right,white,0.0
evoluent,verticalmouse 4 right wireless,optical,wireless,0.0379746835443038,right,black / blue,0.0
feenix,nascita,laser,wired,0.2468354430379746,right,black / white,0.0
fellowes,penguin large,laser,wireless,0.0253164556962025,both,black / silver,0.0
fellowes,penguin medium,laser,wireless,0.0253164556962025,both,black / silver,0.0
fellowes,penguin small,laser,wireless,0.0253164556962025,both,black / silver,0.0
finalmouse,air58 ninja,optical,wired,0.0886075949367088,right,blue,0.0
finalmouse,finalmouse 2015,optical,wired,0.0886075949367088,right,black,0.0
finalmouse,tournament pro 2016,optical,wired,0.0886075949367088,right,black,0.0
finalmouse,ultralight pro,optical,wired,0.0886075949367088,right,black,0.0
fujitsu,fpcmo032ap,laser,wired,0.0886075949367088,both,black,0.0
fujitsu,fpcmo16ap,optical,wired,0.0886075949367088,both,black,0.0
fujitsu,fpcmo17,optical,wired,0.0886075949367088,both,silver,0.0
func,ms 3,laser,wired,0.1468354430379747,right,black / red,0.0
func,ms- 3 revision 2,laser,wired,0.1667721518987341,right,black / red,0.0
func,ms-2,optical,wired,0.1139240506329114,right,black / orange,0.0
g-wolves,ht-m 3360 ash,optical,wired,0.3670886075949367,right,silver,0.0
g-wolves,ht-m 3360 black,optical,wired,0.3670886075949367,right,black,0.0
