brand,model,channels,bitrate,snr,sample_rate,chipset,interface,price
Asus,Xonar DG,5.1,24.0,105.0,96.0,C-Media CMI8786,PCI,"['USD', '0.00']"
Asus,Xonar DGX,5.1,24.0,105.0,96.0,C-Media CMI8786,PCIe x1,"['USD', '0.00']"
Asus,Xonar DS,7.1,24.0,107.0,192.0,ASUS AV200,PCI,"['USD', '0.00']"
Asus,Xonar DSX,7.1,24.0,107.0,192.0,ASUS AV66,PCIe x1,"['USD', '0.00']"
Asus,Xonar DX,7.1,24.0,116.0,192.0,ASUS AV100,PCIe x1,"['USD', '0.00']"
Asus,Xonar Essence,7.1,24.0,124.0,192.0,ASUS AV100,PCI,"['USD', '0.00']"
Asus,Xonar Essence ST,7.1,24.0,124.0,192.0,ASUS AV100,PCI,"['USD', '0.00']"
Asus,Xonar Essence STX,7.1,24.0,124.0,192.0,ASUS AV100,PCIe x1,"['USD', '0.00']"
Asus,Xonar Phoebus,7.1,24.0,118.0,96.0,C-Media CMI8888DHT,PCIe x1,"['USD', '0.00']"
Asus,Xonar SE,5.1,24.0,120.0,192.0,,PCIe x1,"['USD', '39.99']"
Creative Labs,70SB135A00002,5.1,24.0,102.0,96.0,Sound Core3D,PCIe x1,"['USD', '0.00']"
Creative Labs,70SB157000000,5.1,,106.0,,,PCIe x1,"['USD', '36.99']"
Creative Labs,AUDIGY RX,7.1,24.0,,192.0,,PCIe x1,"['USD', '0.00']"
Creative Labs,Audigy SE,7.1,24.0,,96.0,Audigy SE,PCI,"['USD', '0.00']"
Creative Labs,Recon3D Fatal1ty Champion,5.1,24.0,102.0,96.0,Sound Core3D,PCIe x1,"['USD', '0.00']"
Creative Labs,Recon3D Fatal1ty Professional,5.1,24.0,102.0,96.0,Sound Core3D,PCIe x1,"['USD', '0.00']"
Creative Labs,Recon3D PCIe,5.1,24.0,102.0,96.0,Sound Core3D,PCIe x1,"['USD', '0.00']"
Creative Labs,SB X-Fi Xtreme Audio,7.1,24.0,100.0,96.0,,PCIe x1,"['USD', '0.00']"
