brand,model,bluray_read_speed,dvd_read_speed,cd_read_speed,bluray_write_speed,dvd_write_speed,cd_write_speed,price
plextor,px-891sa-26,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/10/6,24/8/12/24/6/12/12,48/32,0.0
plextor,px-891sa-28,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/10/6,24/8/12/24/6/12/12,48/32,0.0
plextor,px-891saf,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/10/6,24/8/12/24/6/12/12,48/32,0.0
plextor,px-b320sa sw,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/10/6,16/8/8/16/6/8/12,48/32,0.0
plextor,px-b940sa-11,0.3333333333333333,0.6470588235294117,0.6153846153846154,12/12/2/2,16/8/8/16/6/8/5,40/24,0.0
plextor,px-l871a,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/12/2/2,22/8/12/22/6/12/12,48/24,0.0
plextor,px-l890sa,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/12/2/2,24/8/12/24/6/12/12,48/24,0.0
plextor,px-l890sa r,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/12/2/2,24/8/12/24/6/12/12,48/24,0.0
plextor,px-lb950sa,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
samsung,sh-118bb,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
samsung,sh-118cb/bebe,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/24,0.0
samsung,sh-216db,0.3333333333333333,0.7647058823529411,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/5,48/24,0.0
samsung,sh-222ab,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222al,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222al/bsbe,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222al/bsbs,0.3333333333333333,1.0,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222al/rsbs,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/24,0.0
samsung,sh-222bb/bebe,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/24,0.0
samsung,sh-222bb/rsbs,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/8/22/6/8/12,48/24,0.0
samsung,sh-224bb,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/24,0.0
samsung,sh-224bb/rsbs,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/24,0.0
samsung,sh-224db/bebe,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/12,48/24,0.0
samsung,sh-224db/rsbs,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/5,48/24,0.0
samsung,sh-224fb,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/5,48/24,0.0
samsung,sh-224fb/rsbs,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/5,48/24,0.0
samsung,sh-224fb/rsms,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/8/8/5,48/24,0.0
samsung,sh-224gb/bsbe,0.3333333333333333,0.6470588235294117,0.9230769230769232,12/8/2/2,24/8/8/24/6/8/5,48/24,0.0
samsung,sh-b123l,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/6/8/12,48/4,0.0
samsung,sh-b123l/rsbp,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,16/8/8/16/16/8/12,48/24,0.0
samsung,sh-s222a,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/32,0.0
samsung,sh-s223c,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/32,0.0
samsung,sh-s223q,0.6666666666666667,0.6470588235294117,0.9230769230769232,12/8/2/2,22/8/16/22/6/12/12,48/32,0.0
samsung,sn-208bb,0.6666666666666667,0.1764705882352941,0.0,12/8/2/2,8/8/8/8/6/8/5,24/4,0.0
samsung,sn-208db/bebe,0.6666666666666667,0.1764705882352941,0.0,12/8/2/2,8/8/6/8/6/6/5,24/24,0.0
samsung,sn-208db/bebet,0.6666666666666667,0.1764705882352941,0.0,12/8/2/2,8/8/6/8/6/6/5,24/24,0.0
samsung,sn-208fb/bebe,0.6666666666666667,0.1764705882352941,0.0,12/8/2/2,8/8/6/8/6/6/5,24/24,0.0
samsung,ts-h353c,0.6666666666666667,0.6470588235294117,0.6153846153846154,12/8/2/2,8/8/6/8/6/6/5,24/24,0.0
samsung,ts-hb43l/hpbhf,0.6666666666666667,0.6470588235294117,0.6153846153846154,12/8/2/2,16/8/8/16/8/8/12,24/24,0.0
silverstone,sod02b,0.6666666666666667,0.1764705882352941,0.0,12/8/2/2,8/8/6/8/6/6/5,24/4,0.0
silverstone,sst-sob02,0.6666666666666667,0.1764705882352941,0.0,6/6/6/6,8/8/8/8/8/8/4,24/24,0.0
silverstone,tob04,0.1666666666666666,0.1764705882352941,0.0,6/6/6/4,8/8/8/8/8/8/8,24/24,0.0
sony,5280s-cb-plus,0.1666666666666666,0.6470588235294117,0.9230769230769232,6/6/6/4,8/8/8/8/8/8/8,48/32,0.0
sony,ad-7200s-0b,0.1666666666666666,0.6470588235294117,0.9230769230769232,6/6/6/4,20/8/8/20/6/12/12,48/32,0.0
sony,ad-7260s-01,0.1666666666666666,0.6470588235294117,0.9230769230769232,6/6/6/4,24/8/12/24/6/12/12,48/32,0.0
sony,ad-7260s-0b,0.1666666666666666,0.6470588235294117,0.9230769230769232,6/6/6/4,24/8/12/24/6/12/12,48/32,0.0
sony,ad-7261s-0b,0.1666666666666666,0.6470588235294117,0.9230769230769232,6/6/6/4,24/8/12/24/6/12/12,48/32,0.0
