brand,model,chipset,vram,core_clock,boost_clock,color,length,price
asus,eah5830 directcu/2dis/1gd5,radeon hd 5830,{'total': 1000000000},{'cycles': 800000000},{'cycles': 1797000000},black,0.5301538461538462,0.0
asus,eah5850 directcu top/2dis/1gd5,radeon hd 5850,{'total': 1000000000},{'cycles': 765000000},{'cycles': 1797000000},black / red,0.5301538461538462,0.0
asus,eah5850 directcu/2dis/1gd5,radeon hd 5850,{'total': 1000000000},{'cycles': 725000000},{'cycles': 1797000000},black / red,0.5292307692307693,0.0
asus,eah5870/2dis/1gd5/v2,radeon hd 5870,{'total': 1000000000},{'cycles': 850000000},{'cycles': 1797000000},black / red,0.5292307692307693,0.0
asus,eah6450 silent/di/512md3(lp),radeon hd 6450,{'total': 500000000},{'cycles': 625000000},{'cycles': 1797000000},red / silver,0.3323076923076923,0.0
asus,eah6450 silent/di/1gd3(lp),radeon hd 6450,{'total': 1000000000},{'cycles': 625000000},{'cycles': 1797000000},red / silver,0.3323076923076923,0.0
asus,eah6570/di/1gd3(lp),radeon hd 6570,{'total': 1000000000},{'cycles': 650000000},{'cycles': 1797000000},red / silver,0.3015384615384615,0.0
asus,eah6670/dis/1gd5,radeon hd 6670,{'total': 1000000000},{'cycles': 810000000},{'cycles': 1797000000},black / red,0.3015384615384615,0.0
asus,eah6770 dc sl/2di/1gd5,radeon hd 6770,{'total': 1000000000},{'cycles': 850000000},{'cycles': 1797000000},black / red,0.68,0.0
asus,eah6770 dc/2di/1gd5,radeon hd 6770,{'total': 1000000000},{'cycles': 850000000},{'cycles': 1797000000},black / red,0.5384615384615384,0.0
asus,eah6770/di/1gd5,radeon hd 6770,{'total': 1000000000},{'cycles': 850000000},{'cycles': 1797000000},black / red,0.4461538461538461,0.0
asus,eah6850 dc/2dis/1gd5/v2,radeon hd 6850,{'total': 1000000000},{'cycles': 790000000},{'cycles': 1797000000},black / red,0.5876923076923077,0.0
asus,eah6850 directcu/2dis/1gd5,radeon hd 6850,{'total': 1000000000},{'cycles': 790000000},{'cycles': 1797000000},black / red,0.5876923076923077,0.0
asus,eah6870 dc/2di2s/1gd5,radeon hd 6870,{'total': 1000000000},{'cycles': 915000000},{'cycles': 1797000000},black / red,0.6369230769230769,0.0
asus,eah6870/2di2s/1gd5,radeon hd 6870,{'total': 1000000000},{'cycles': 913000000},{'cycles': 1797000000},black / red,0.5292307692307693,0.0
asus,eah6950 dcii/2di4s/1gd5,radeon hd 6950,{'total': 1000000000},{'cycles': 810000000},{'cycles': 1797000000},black / red,0.7015384615384616,0.0
asus,eah6950 dcii/2di4s/2gd5,radeon hd 6950,{'total': 2000000000},{'cycles': 810000000},{'cycles': 1797000000},black / red,0.7015384615384616,0.0
asus,eah6950/2di2s/2gd5,radeon hd 6950,{'total': 2000000000},{'cycles': 810000000},{'cycles': 1797000000},black / red,0.7015384615384616,0.0
asus,eah6970 dcii/2di4s/2gd5,radeon hd 6970,{'total': 2000000000},{'cycles': 890000000},{'cycles': 1797000000},black / red,0.7015384615384616,0.0
asus,eah6970/2di2s/2gd5,radeon hd 6970,{'total': 2000000000},{'cycles': 890000000},{'cycles': 1797000000},black / red,0.6461538461538462,0.0
asus,en8400gs silent/di/512md2(lp),geforce 8400 gs,{'total': 500000000},{'cycles': 589000000},{'cycles': 1797000000},black / red,0.3107692307692308,0.0
asus,en8400gs silent/p/512m,geforce 8400 gs,{'total': 500000000},{'cycles': 567000000},{'cycles': 1797000000},blue / silver,0.3107692307692308,0.0
asus,en8400gs/di/512md2(lp),geforce 8400 gs,{'total': 500000000},{'cycles': 589000000},{'cycles': 1797000000},blue / silver,0.3107692307692308,0.0
asus,en9800gt/htdp/512md3,geforce 9800 gt,{'total': 500000000},{'cycles': 589000000},{'cycles': 1797000000},blue / silver,0.4910769230769231,0.0
asus,enengtx560ti448dc2/2dis/1280md5,geforce gtx 560 ti 448,{'total': 1250000000},{'cycles': 732000000},{'cycles': 1797000000},blue / silver,0.6523076923076923,0.0
asus,engt430 dc sl/di/1gd3,geforce gt 430,{'total': 1000000000},{'cycles': 700000000},{'cycles': 1797000000},black / red,0.3569230769230769,0.0
asus,engt430/di/1gd3(lp),geforce gt 430,{'total': 1000000000},{'cycles': 700000000},{'cycles': 1797000000},black / blue,0.28,0.0
asus,engt440 dc sl/di/1gd3,geforce gt 440,{'total': 1000000000},{'cycles': 810000000},{'cycles': 1797000000},black / blue,0.4030769230769231,0.0
asus,engt440/di/1gd5,geforce gt 440,{'total': 1000000000},{'cycles': 822000000},{'cycles': 1797000000},black / red,0.4461538461538461,0.0
