brand,model,size,color,rpm,airflow,decibels,pwm,price
Noctua,P14 FLX,140.0,Brown,"{'min': 750, 'max': 1200, 'default': None}","{'min': 41.93, 'max': 64.95, 'default': None}","{'min': 10.1, 'max': 19.6, 'default': None}",False,"['USD', '19.98']"
Noctua,P14r redux-1500 PWM,140.0,Black / Gray,"{'min': 450, 'max': 1500, 'default': None}","{'min': None, 'max': None, 'default': 78.69}","{'min': None, 'max': None, 'default': 25.8}",True,"['USD', '14.95']"
Noctua,P14s redux-1200,140.0,Black / Gray,"{'min': None, 'max': None, 'default': 1200}","{'min': None, 'max': None, 'default': 64.92}","{'min': None, 'max': None, 'default': 19.6}",False,"['USD', '14.95']"
Noctua,P14s redux-1200 PWM,140.0,Black / Gray,"{'min': 350, 'max': 1200, 'default': None}","{'min': None, 'max': None, 'default': 64.92}","{'min': None, 'max': None, 'default': 19.6}",True,"['USD', '14.95']"
Noctua,P14s redux-1500 PWM,140.0,Black / Gray,"{'min': 450, 'max': 1500, 'default': None}","{'min': None, 'max': None, 'default': 78.69}","{'min': None, 'max': None, 'default': 25.8}",True,"['USD', '0.00']"
Noctua,P14s redux-900,140.0,Black / Gray,"{'min': None, 'max': None, 'default': 900}","{'min': None, 'max': None, 'default': 49.26}","{'min': None, 'max': None, 'default': 13.2}",False,"['USD', '14.95']"
Noctua,R8 PWM,80.0,Brown,"{'min': 300, 'max': 1800, 'default': None}","{'min': 23.19, 'max': 31.37, 'default': None}","{'min': 10.19, 'max': 17.1, 'default': None}",False,"['USD', '0.00']"
Noctua,R8 redux-1200,80.0,Black / Gray,"{'min': None, 'max': None, 'default': 1200}","{'min': None, 'max': None, 'default': 21.07}","{'min': None, 'max': None, 'default': 9.1}",False,"['USD', '9.94']"
Noctua,R8 redux-1800,80.0,Black / Gray,"{'min': None, 'max': None, 'default': 1800}","{'min': None, 'max': None, 'default': 31.37}","{'min': None, 'max': None, 'default': 17.1}",False,"['USD', '9.94']"
Noctua,R8 redux-1800 PWM,80.0,Black / Gray,"{'min': 325, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 31.37}","{'min': None, 'max': None, 'default': 17.1}",True,"['USD', '9.94']"
Noctua,R8-1800,80.0,Brown,"{'min': 800, 'max': 1800, 'default': None}",,"{'min': 7.0, 'max': 17.0, 'default': None}",False,"['USD', '0.00']"
Noctua,S12A FLX,120.0,Brown,"{'min': 700, 'max': 1200, 'default': None}",,"{'min': 7.4, 'max': 17.8, 'default': None}",False,"['USD', '22.99']"
Noctua,S12A PWM,120.0,Brown,"{'min': 300, 'max': 1200, 'default': None}",,"{'min': 10.7, 'max': 17.8, 'default': None}",True,"['USD', '19.89']"
Noctua,S12A PWM chromax.black.swap,120.0,Multicolor,"{'min': 300, 'max': 1200, 'default': None}","{'min': None, 'max': None, 'default': 63.27}","{'min': None, 'max': None, 'default': 17.8}",True,"['USD', '0.00']"
Noctua,S12A ULN,120.0,Brown,"{'min': 600, 'max': 800, 'default': None}",,"{'min': 6.7, 'max': 8.6, 'default': None}",False,"['USD', '19.95']"
Noctua,S12B FLX,120.0,Brown,"{'min': 600, 'max': 1200, 'default': None}","{'min': 28.95, 'max': 59.21, 'default': None}","{'min': 6.0, 'max': 18.1, 'default': None}",False,"['USD', '0.00']"
Noctua,S12B redux-1200,120.0,Black / Gray,"{'min': None, 'max': None, 'default': 1200}","{'min': None, 'max': None, 'default': 59.1}","{'min': None, 'max': None, 'default': 18.1}",False,"['USD', '23.40']"
Noctua,S12B redux-1200 PWM,120.0,Black / Gray,"{'min': 400, 'max': 1200, 'default': None}","{'min': None, 'max': None, 'default': 59.1}","{'min': None, 'max': None, 'default': 18.1}",True,"['USD', '0.00']"
Noctua,S12B redux-700,120.0,Black / Gray,"{'min': None, 'max': None, 'default': 700}","{'min': None, 'max': None, 'default': 33.49}","{'min': None, 'max': None, 'default': 6.8}",False,"['USD', '13.95']"
NoiseBlocker,Black Silent Pro PK-HP,140.0,Black,"{'min': None, 'max': None, 'default': 1500}","{'min': None, 'max': None, 'default': 71.22}","{'min': None, 'max': None, 'default': 29.0}",True,"['USD', '0.00']"
NoiseBlocker,BlackSilentFan X-1,40.0,Translucent Blue,"{'min': None, 'max': None, 'default': 2800}","{'min': None, 'max': None, 'default': 2.88}","{'min': None, 'max': None, 'default': 9.0}",False,"['USD', '0.00']"
NoiseBlocker,BlackSilentFan X-2,40.0,Translucent Blue,"{'min': None, 'max': None, 'default': 3800}","{'min': None, 'max': None, 'default': 3.94}","{'min': None, 'max': None, 'default': 14.0}",False,"['USD', '0.00']"
NoiseBlocker,BlackSilentFan X-P,120.0,Translucent Blue,"{'min': None, 'max': None, 'default': 2000}","{'min': None, 'max': None, 'default': 75.33}","{'min': None, 'max': None, 'default': 31.0}",True,"['USD', '0.00']"
NoiseBlocker,BlackSilentPro P-1,80.0,Black,"{'min': None, 'max': None, 'default': 1500}","{'min': None, 'max': None, 'default': 17.24}","{'min': None, 'max': None, 'default': 15.0}",False,"['USD', '0.00']"
NoiseBlocker,BlackSilentPro P-2,40.0,Black,"{'min': None, 'max': None, 'default': 3800}","{'min': None, 'max': None, 'default': 5.3}","{'min': None, 'max': None, 'default': 18.0}",False,"['USD', '25.11']"
NoiseBlocker,BlackSilentPro P-3,140.0,Black,"{'min': None, 'max': None, 'default': 1700}","{'min': None, 'max': None, 'default': 90.05}","{'min': 33.0, 'max': 3.0, 'default': None}",False,"['USD', '0.00']"
NoiseBlocker,BlackSilentPro P-P,80.0,Black,"{'min': None, 'max': None, 'default': 2000}","{'min': None, 'max': None, 'default': 31.78}","{'min': None, 'max': None, 'default': 18.0}",True,"['USD', '0.00']"
NoiseBlocker,BlackSilentPro PC-P,80.0,Black,"{'min': 600, 'max': 2500, 'default': None}","{'min': 8.2, 'max': 30.6, 'default': None}","{'min': 6.2, 'max': 25.8, 'default': None}",True,"['USD', '0.00']"
NoiseBlocker,ELoop B,120.0,White,"{'min': None, 'max': None, 'default': 2400}","{'min': None, 'max': None, 'default': 88.46}","{'min': None, 'max': None, 'default': 34.0}",False,"['USD', '0.00']"
NoiseBlocker,Multiframe,120.0,Translucent Gray,"{'min': None, 'max': None, 'default': 2000}","{'min': None, 'max': None, 'default': 78.28}","{'min': None, 'max': None, 'default': 29.0}",True,"['USD', '0.00']"
NoiseBlocker,NB-ELOOP X ARGB,140.0,Black,,"{'min': 0.0, 'max': 109.47, 'default': None}","{'min': 0.0, 'max': 29.6, 'default': None}",True,"['USD', '65.38']"
PC Cooler,Moonlight 5-Pack,120.0,Black,"{'min': 1000, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 54.0}",,True,"['USD', '55.99']"
Phanteks,F120MP,120.0,Black / White,"{'min': 500, 'max': 1800, 'default': None}","{'min': None, 'max': None, 'default': 53.3}","{'min': None, 'max': None, 'default': 25.0}",True,"['USD', '14.99']"
Phanteks,F120SP,120.0,Black / White,"{'min': None, 'max': None, 'default': 1300}","{'min': None, 'max': None, 'default': 54.4}","{'min': None, 'max': None, 'default': 24.2}",False,"['USD', '12.74']"
Phanteks,F120XP,120.0,Black / White,"{'min': 500, 'max': 1500, 'default': None}","{'min': 23.0, 'max': 61.6, 'default': None}","{'min': 21.0, 'max': 27.0, 'default': None}",True,"['USD', '14.24']"
Phanteks,F140HP,140.0,White,"{'min': 600, 'max': 1300, 'default': None}","{'min': 40.9, 'max': 88.6, 'default': None}","{'min': 15.22, 'max': 19.0, 'default': None}",False,"['USD', '20.99']"
Phanteks,F140HP II,140.0,White / Black,"{'min': 500, 'max': 1600, 'default': None}","{'min': None, 'max': None, 'default': 68.1}","{'min': None, 'max': None, 'default': 25.0}",True,"['USD', '13.49']"
Phanteks,F140MP,140.0,Black / White,"{'min': 500, 'max': 1600, 'default': None}","{'min': None, 'max': None, 'default': 68.09}","{'min': 17.0, 'max': 25.3, 'default': None}",True,"['USD', '17.98']"
