brand,model,fan_rpm,decibels,color,radiator_size,price
deepcool,maelstrom 120t,"{'min': 600, 'max': 1800, 'default': none}","{'min': 17.8, 'max': 34.1, 'default': none}",black,0.0,0.0
deepcool,maelstrom 120t rf,"{'min': 600, 'max': 1800, 'default': none}","{'min': 17.8, 'max': 34.1, 'default': none}",black,0.0,0.0
deepcool,maelstrom 240,"{'min': 600, 'max': 2200, 'default': none}","{'min': 17.6, 'max': 39.3, 'default': none}",black,0.4,0.0
deepcool,maelstrom 240t,"{'min': 600, 'max': 1800, 'default': none}","{'min': 17.8, 'max': 34.1, 'default': none}",black,0.4,0.0
deepcool,maelstrom 240t rf,"{'min': 600, 'max': 1800, 'default': none}","{'min': 17.8, 'max': 34.1, 'default': none}",black,0.4,0.0
deepcool,neptwin,"{'min': 900, 'max': 1500, 'default': none}","{'min': 17.8, 'max': 30.0, 'default': none}",black,0.4,0.0
deepcool,neptwin v2.0,"{'min': none, 'max': none, 'default': 1300}","{'min': none, 'max': none, 'default': 26.6}",black,0.4,0.0
deepcool,neptwin white,"{'min': 900, 'max': 1500, 'default': none}","{'min': 17.8, 'max': 30.0, 'default': none}",white,0.4,0.0
deepcool,neptwin rgb,"{'min': 500, 'max': 1500, 'default': none}","{'min': none, 'max': none, 'default': 27.0}",black / silver,0.4,0.0
deepcool,theta 20 pwm,"{'min': 900, 'max': 2400, 'default': none}","{'min': 17.8, 'max': 32.5, 'default': none}",black / silver,0.4,0.0
dynatron,k129,"{'min': 900, 'max': 2400, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",orange,0.4,0.0
dynatron,k17,"{'min': 1000, 'max': 2500, 'default': none}","{'min': 17.0, 'max': 31.92, 'default': none}",orange,0.4,0.0
dynatron,k199,"{'min': 1000, 'max': 5000, 'default': none}","{'min': 20.71, 'max': 51.7, 'default': none}",orange,0.4,0.0
dynatron,k5,"{'min': 1000, 'max': 2500, 'default': none}","{'min': 14.7, 'max': 29.8, 'default': none}",orange,0.4,0.0
dynatron,k987,"{'min': 1200, 'max': 2800, 'default': none}","{'min': 16.08, 'max': 34.48, 'default': none}",black / silver,0.4,0.0
dynatron,r12,"{'min': 1200, 'max': 2800, 'default': none}","{'min': none, 'max': none, 'default': 0.0}",black / silver,0.4,0.0
