brand,model,capacity,price_per_gb,storage_type,platter_rpm,cache_amount,form_factor,interface,price
Seagate,ST1000DX001,{'total': 1000000000000},"['USD', '0.121']",Hybrid,,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '121.06']"
Seagate,ST1000LM014,{'total': 1000000000000},"['USD', '0.090']",Hybrid,,{'total': 64000000},"2.5""",SATA 6 Gb/s,"['USD', '89.99']"
Seagate,ST1000LM015,{'total': 1000000000000},"['USD', '0.00']",Hybrid,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST1000LM028,{'total': 1000000000000},"['USD', '0.00']",Hybrid,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST1000LM035,{'total': 1000000000000},"['USD', '0.053']",HDD,5400.0,{'total': 128000000},"2.5""",SATA 6 Gb/s,"['USD', '52.95']"
Seagate,ST1000LM050,{'total': 1000000000000},"['USD', '0.00']",HDD,7200.0,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST1000LX001,{'total': 1000000000000},"['USD', '0.00']",Hybrid,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST1000NX0313,{'total': 1000000000000},"['USD', '0.104']",HDD,7200.0,{'total': 128000000},"2.5""",SATA 6 Gb/s,"['USD', '103.61']"
Seagate,ST1000NX0333,{'total': 1000000000000},"['USD', '0.184']",HDD,7200.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '184.00']"
Seagate,ST1000NX0353,{'total': 1000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST1000NX0363,{'total': 1000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '0.00']"
Seagate,ST1000NX0373,{'total': 1000000000000},"['USD', '0.085']",HDD,7200.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '84.94']"
Seagate,ST1200MM0158,{'total': 1200000000000},"['USD', '0.00']",HDD,10000.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '0.00']"
Seagate,ST1800MM0128,{'total': 1800000000000},"['USD', '0.577']",HDD,10000.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '1038.00']"
Seagate,ST2000DM002,{'total': 2000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST2000DX001,{'total': 2000000000000},"['USD', '0.078']",Hybrid,,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '156.00']"
Seagate,ST2000NM0014,{'total': 2000000000000},"['USD', '0.061']",HDD,7200.0,{'total': 128000000},"3.5""",SAS 12 Gb/s,"['USD', '121.34']"
Seagate,ST2000NM0024,{'total': 2000000000000},"['USD', '0.118']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '237.00']"
Seagate,ST2000NM0034,{'total': 2000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST2000NM0044,{'total': 2000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST2000NM0054,{'total': 2000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SAS 12 Gb/s,"['USD', '0.00']"
Seagate,ST2000NX0253,{'total': 2000000000000},"['USD', '0.074']",HDD,7200.0,{'total': 128000000},"2.5""",SATA 6 Gb/s,"['USD', '147.33']"
Seagate,ST2000NX0273,{'total': 2000000000000},"['USD', '0.102']",HDD,7200.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '205.00']"
Seagate,ST2000NX0303,{'total': 2000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST2000NX0323,{'total': 2000000000000},"['USD', '0.083']",HDD,7200.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '165.00']"
Seagate,ST2000NX0343,{'total': 2000000000000},"['USD', '0.156']",HDD,7200.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '312.12']"
Seagate,ST2000NX0353,{'total': 2000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '0.00']"
Seagate,ST2000VN000,{'total': 2000000000000},"['USD', '0.00']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST3000DM002,{'total': 3000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST3000VM002,{'total': 3000000000000},"['USD', '0.00']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST3000VN000,{'total': 3000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST3000VX002,{'total': 3000000000000},"['USD', '0.00']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST3146356SS-IM,{'total': 146000000000},"['USD', '0.329']",HDD,15000.0,{'total': 16000000},"3.5""",SAS 3 Gb/s,"['USD', '48.00']"
Seagate,ST3160023AS,{'total': 160000000000},"['USD', '0.169']",HDD,7200.0,{'total': 8000000},"3.5""",SATA 1.5 Gb/s,"['USD', '26.99']"
Seagate,ST320LM010,{'total': 320000000000},"['USD', '0.109']",HDD,7200.0,{'total': 32000000},"2.5""",SATA 6 Gb/s,"['USD', '34.99']"
Seagate,ST320LT030,{'total': 320000000000},"['USD', '0.078']",HDD,5400.0,{'total': 16000000},"2.5""",SATA 6 Gb/s,"['USD', '24.99']"
Seagate,ST3250412CS,{'total': 250000000000},"['USD', '0.00']",HDD,5900.0,{'total': 16000000},"3.5""",SATA 3 Gb/s,"['USD', '0.00']"
Seagate,ST3500320NS-IM,{'total': 500000000000},"['USD', '0.00']",HDD,7200.0,{'total': 32000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST373454LC-RF,{'total': 73400000000},"['USD', '0.00']",HDD,15000.0,{'total': 8000000},"3.5""",SAS 3 Gb/s,"['USD', '0.00']"
Seagate,ST380215AS-IM,{'total': 80000000000},"['USD', '0.00']",HDD,7200.0,{'total': 2000000},"3.5""",SAS 3 Gb/s,"['USD', '0.00']"
Seagate,ST3808110AS,{'total': 80000000000},"['USD', '0.00']",HDD,7200.0,,"3.5""",SATA 3 Gb/s,"['USD', '0.00']"
Seagate,ST4000DX001,{'total': 4000000000000},"['USD', '0.00']",Hybrid,,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST4000LM016,{'total': 4000000000000},"['USD', '0.00']",HDD,5400.0,{'total': 128000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST4000NC001,{'total': 4000000000000},"['USD', '0.017']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '67.50']"
Seagate,ST4000NM0024,{'total': 4000000000000},"['USD', '0.044']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '175.00']"
Seagate,ST4000NM0034,{'total': 4000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SAS 12 Gb/s,"['USD', '0.00']"
Seagate,ST4000NM0044,{'total': 4000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST4000NM0054,{'total': 4000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SAS 12 Gb/s,"['USD', '0.00']"
Seagate,ST4000VM000,{'total': 4000000000000},"['USD', '0.00']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST4000VN000,{'total': 4000000000000},"['USD', '0.046']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '184.99']"
Seagate,ST4000VX000,{'total': 4000000000000},"['USD', '0.040']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '158.38']"
Seagate,ST5000DM000,{'total': 5000000000000},"['USD', '0.00']",HDD,5900.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST5000NM0024,{'total': 5000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST500LM000,{'total': 500000000000},"['USD', '0.075']",Hybrid,,{'total': 64000000},"2.5""",SATA 6 Gb/s,"['USD', '37.50']"
Seagate,ST500LM001,{'total': 500000000000},"['USD', '0.00']",Hybrid,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST500LM020,{'total': 500000000000},"['USD', '0.00']",Hybrid,,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST500LM021,{'total': 500000000000},"['USD', '0.076']",HDD,7200.0,{'total': 32000000},"2.5""",SATA 6 Gb/s,"['USD', '37.99']"
Seagate,ST500LM033,{'total': 500000000000},"['USD', '0.00']",HDD,5400.0,,"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST500LT032,{'total': 500000000000},"['USD', '0.183']",HDD,5400.0,{'total': 16000000},"2.5""",SATA 6 Gb/s,"['USD', '91.69']"
Seagate,ST500LT033,{'total': 500000000000},"['USD', '0.00']",HDD,5400.0,{'total': 16000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST500VM000,{'total': 500000000000},"['USD', '0.049']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '24.62']"
Seagate,ST500VT000,{'total': 500000000000},"['USD', '0.00']",HDD,5400.0,{'total': 16000000},"2.5""",SATA 3 Gb/s,"['USD', '0.00']"
Seagate,ST500VT001,{'total': 500000000000},"['USD', '0.00']",HDD,5400.0,{'total': 32000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST6000DX000,{'total': 6000000000000},"['USD', '0.035']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '212.54']"
Seagate,ST6000NM0014,{'total': 6000000000000},"['USD', '0.035']",HDD,7200.0,{'total': 128000000},"3.5""",SAS 12 Gb/s,"['USD', '208.99']"
Seagate,ST6000NM0024,{'total': 6000000000000},"['USD', '0.043']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '255.48']"
Seagate,ST6000NM0044,{'total': 6000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST6000NM0084,{'total': 6000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST6000NM0104,{'total': 6000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST6000VN0021,{'total': 6000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST600MM0158,{'total': 600000000000},"['USD', '0.100']",HDD,10000.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '60.00']"
Seagate,ST640LM000,{'total': 640000000000},"['USD', '0.00']",HDD,5400.0,{'total': 8000000},"2.5""",SATA 3 Gb/s,"['USD', '0.00']"
Seagate,ST900MM0128,{'total': 900000000000},"['USD', '0.143']",HDD,10000.0,{'total': 128000000},"2.5""",SAS 12 Gb/s,"['USD', '129.00']"
Seagate,ST90250N1A1AS-RK,{'total': 250000000000},"['USD', '0.100']",HDD,5400.0,{'total': 8000000},"2.5""",SATA 3 Gb/s,"['USD', '24.99']"
Seagate,ST9640423AS,{'total': 640000000000},"['USD', '0.00']",HDD,5400.0,{'total': 16000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,ST980813AS,{'total': 80000000000},"['USD', '0.00']",HDD,7200.0,{'total': 8000000},"3.5""",SATA 3 Gb/s,"['USD', '0.00']"
Seagate,STBD2000102,{'total': 2000000000000},"['USD', '0.00']",HDD,5400.0,{'total': 32000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,STBD4000400,{'total': 4000000000000},"['USD', '0.100']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '399.59']"
Seagate,STBD6000100,{'total': 6000000000000},"['USD', '0.00']",HDD,5900.0,{'total': 128000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,STCL2000400,{'total': 2000000000000},"['USD', '0.00']",Hybrid,,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,STCL4000400,{'total': 4000000000000},"['USD', '0.00']",Hybrid,,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,SV35 Series,{'total': 500000000000},"['USD', '0.00']",HDD,7200.0,{'total': 16000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,SV35.5,{'total': 1000000000000},"['USD', '0.00']",HDD,7200.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,Savvio,{'total': 300000000000},"['USD', '0.00']",HDD,10000.0,{'total': 64000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
Seagate,Savvio 10K.5,{'total': 600000000000},"['USD', '0.00']",HDD,10000.0,{'total': 64000000},"2.5""",SAS 6 Gb/s,"['USD', '0.00']"
Seagate,Savvio 15K.3,{'total': 300000000000},"['USD', '0.00']",HDD,15000.0,{'total': 64000000},"2.5""",SAS 6 Gb/s,"['USD', '0.00']"
Seagate,SkyHawk,{'total': 3000000000000},"['USD', '0.034']",HDD,5900.0,{'total': 64000000},"3.5""",SATA 6 Gb/s,"['USD', '100.62']"
Seagate,SkyHawk AI,{'total': 10000000000000},"['USD', '0.026']",HDD,7200.0,{'total': 256000000},"3.5""",SATA 6 Gb/s,"['USD', '259.99']"
Seagate,SkyHawk Surveillance,{'total': 10000000000000},"['USD', '0.039']",HDD,7200.0,{'total': 256000000},"3.5""",SATA 6 Gb/s,"['USD', '388.00']"
Seagate,Skyhawk AI,{'total': 8000000000000},"['USD', '0.026']",HDD,7200.0,{'total': 256000000},"3.5""",SATA 6 Gb/s,"['USD', '204.99']"
Seagate,Spinpoint F3,{'total': 500000000000},"['USD', '0.00']",HDD,7200.0,{'total': 16000000},"3.5""",SATA 3 Gb/s,"['USD', '0.00']"
Seagate,SuperSpeed HDD,{'total': 1000000000000},"['USD', '0.00']",Hybrid,,{'total': 64000000},"2.5""",SATA 6 Gb/s,"['USD', '0.00']"
